"id";"shot_data_id";"expert_trajectory";"expert_note";"expert_p_system";"expert_suggestion";"expert_cause";"expert_err_msg";"expert_update_time"
11;16;"STRAIGHT SLICE，球先往目標直直去，尾勁往右邊飛,相對危險度比較低，還有可能留在球道上，偶而會打到OB線附近";"";"P2~3 上桿";"雖然軌道正確，但桿面是有點打開的情形下觸球，如果可以改善這個問題，距離跟方向都會更上一層樓";"球桿方向朝目標方向右邊,幾乎直球飛出漸往右邊偏去";"";"2022-12-19 01:44:49"
12;17;"STRAIGHT SLICE，球先往目標直直去，尾勁往右邊飛,相對危險度比較低，還有可能留在球道上，偶而會打到OB線附近";"";"P2~3 上桿";"雖然軌道正確，但桿面是有點打開的情形下觸球，如果可以改善這個問題，距離跟方向都會更上一層樓";"球桿方向朝目標方向右邊,幾乎直球飛出漸往右邊偏去";"";"2022-12-19 01:45:13"
13;18;"STRAIGHT SLICE，球先往目標直直去，尾勁往右邊飛,相對危險度比較低，還有可能留在球道上，偶而會打到OB線附近";"";"P2~3 上桿";"雖然軌道正確，但桿面是有點打開的情形下觸球，如果可以改善這個問題，距離跟方向都會更上一層樓";"球桿方向朝目標方向右邊,幾乎直球飛出漸往右邊偏去";"";"2022-12-19 01:49:44"
14;19;"STRAIGHT SLICE，球先往目標直直去，尾勁往右邊飛,相對危險度比較低，還有可能留在球道上，偶而會打到OB線附近";"";"P2~3 上桿";"雖然軌道正確，但桿面是有點打開的情形下觸球，如果可以改善這個問題，距離跟方向都會更上一層樓";"球桿方向朝目標方向右邊,幾乎直球飛出漸往右邊偏去";"";"2022-12-19 16:04:34"
15;20;"STRAIGHT SLICE，球先往目標直直去，尾勁往右邊飛,相對危險度比較低，還有可能留在球道上，偶而會打到OB線附近";"";"P2~3 上桿";"雖然軌道正確，但桿面是有點打開的情形下觸球，如果可以改善這個問題，距離跟方向都會更上一層樓";"球桿方向朝目標方向右邊,幾乎直球飛出漸往右邊偏去";"";"2022-12-19 16:04:57"
16;21;"STRAIGHT SLICE，球先往目標直直去，尾勁往右邊飛,相對危險度比較低，還有可能留在球道上，偶而會打到OB線附近";"";"P2~3 上桿";"雖然軌道正確，但桿面是有點打開的情形下觸球，如果可以改善這個問題，距離跟方向都會更上一層樓";"球桿方向朝目標方向右邊,幾乎直球飛出漸往右邊偏去";"";"2022-12-19 16:08:27"
17;22;"STRAIGHT SLICE，球先往目標直直去，尾勁往右邊飛,相對危險度比較低，還有可能留在球道上，偶而會打到OB線附近";"";"P2~3 上桿";"雖然軌道正確，但桿面是有點打開的情形下觸球，如果可以改善這個問題，距離跟方向都會更上一層樓";"球桿方向朝目標方向右邊,幾乎直球飛出漸往右邊偏去";"";"2022-12-19 16:12:29"
18;23;"STRAIGHT SLICE，球先往目標直直去，尾勁往右邊飛,相對危險度比較低，還有可能留在球道上，偶而會打到OB線附近";"";"P2~3 上桿";"雖然軌道正確，但桿面是有點打開的情形下觸球，如果可以改善這個問題，距離跟方向都會更上一層樓";"球桿方向朝目標方向右邊,幾乎直球飛出漸往右邊偏去";"";"2022-12-19 16:13:14"
19;24;"STRAIGHT SLICE，球先往目標直直去，尾勁往右邊飛,相對危險度比較低，還有可能留在球道上，偶而會打到OB線附近";"";"P2~3 上桿";"雖然軌道正確，但桿面是有點打開的情形下觸球，如果可以改善這個問題，距離跟方向都會更上一層樓";"球桿方向朝目標方向右邊,幾乎直球飛出漸往右邊偏去";"";"2022-12-19 16:17:05"
20;25;"STRAIGHT SLICE，球先往目標直直去，尾勁往右邊飛,相對危險度比較低，還有可能留在球道上，偶而會打到OB線附近";"";"P2~3 上桿";"雖然軌道正確，但桿面是有點打開的情形下觸球，如果可以改善這個問題，距離跟方向都會更上一層樓";"球桿方向朝目標方向右邊,幾乎直球飛出漸往右邊偏去";"";"2022-12-19 22:32:15"
21;26;"STRAIGHT SLICE，球先往目標直直去，尾勁往右邊飛,相對危險度比較低，還有可能留在球道上，偶而會打到OB線附近";"";"P2~3 上桿";"雖然軌道正確，但桿面是有點打開的情形下觸球，如果可以改善這個問題，距離跟方向都會更上一層樓";"球桿方向朝目標方向右邊,幾乎直球飛出漸往右邊偏去";"";"2022-12-19 22:34:58"
22;27;"STRAIGHT SLICE，球先往目標直直去，尾勁往右邊飛,相對危險度比較低，還有可能留在球道上，偶而會打到OB線附近";"";"P2~3 上桿";"雖然軌道正確，但桿面是有點打開的情形下觸球，如果可以改善這個問題，距離跟方向都會更上一層樓";"球桿方向朝目標方向右邊,幾乎直球飛出漸往右邊偏去";"";"2022-12-19 22:37:17"
23;28;"STRAIGHT SLICE，球先往目標直直去，尾勁往右邊飛,相對危險度比較低，還有可能留在球道上，偶而會打到OB線附近";"";"P2~3 上桿";"雖然軌道正確，但桿面是有點打開的情形下觸球，如果可以改善這個問題，距離跟方向都會更上一層樓";"球桿方向朝目標方向右邊,幾乎直球飛出漸往右邊偏去";"";"2022-12-19 22:38:11"
24;29;"STRAIGHT SLICE，球先往目標直直去，尾勁往右邊飛,相對危險度比較低，還有可能留在球道上，偶而會打到OB線附近";"";"P2~3 上桿";"雖然軌道正確，但桿面是有點打開的情形下觸球，如果可以改善這個問題，距離跟方向都會更上一層樓";"球桿方向朝目標方向右邊,幾乎直球飛出漸往右邊偏去";"";"2022-12-19 22:38:59"
25;30;"STRAIGHT SLICE，球先往目標直直去，尾勁往右邊飛,相對危險度比較低，還有可能留在球道上，偶而會打到OB線附近";"";"P2~3 上桿";"雖然軌道正確，但桿面是有點打開的情形下觸球，如果可以改善這個問題，距離跟方向都會更上一層樓";"球桿方向朝目標方向右邊,幾乎直球飛出漸往右邊偏去";"";"2022-12-19 22:41:26"
26;31;"STRAIGHT SLICE，球先往目標直直去，尾勁往右邊飛,相對危險度比較低，還有可能留在球道上，偶而會打到OB線附近";"";"P2~3 上桿";"雖然軌道正確，但桿面是有點打開的情形下觸球，如果可以改善這個問題，距離跟方向都會更上一層樓";"球桿方向朝目標方向右邊,幾乎直球飛出漸往右邊偏去";"";"2022-12-19 22:42:09"
27;32;"STRAIGHT SLICE，球先往目標直直去，尾勁往右邊飛,相對危險度比較低，還有可能留在球道上，偶而會打到OB線附近";"";"P2~3 上桿";"雖然軌道正確，但桿面是有點打開的情形下觸球，如果可以改善這個問題，距離跟方向都會更上一層樓";"球桿方向朝目標方向右邊,幾乎直球飛出漸往右邊偏去";"";"2022-12-19 22:42:37"
28;33;"STRAIGHT SLICE，球先往目標直直去，尾勁往右邊飛,相對危險度比較低，還有可能留在球道上，偶而會打到OB線附近";"";"P2~3 上桿";"雖然軌道正確，但桿面是有點打開的情形下觸球，如果可以改善這個問題，距離跟方向都會更上一層樓";"球桿方向朝目標方向右邊,幾乎直球飛出漸往右邊偏去";"";"2022-12-19 22:44:03"
29;34;"STRAIGHT SLICE，球先往目標直直去，尾勁往右邊飛,相對危險度比較低，還有可能留在球道上，偶而會打到OB線附近";"";"P2~3 上桿";"雖然軌道正確，但桿面是有點打開的情形下觸球，如果可以改善這個問題，距離跟方向都會更上一層樓";"球桿方向朝目標方向右邊,幾乎直球飛出漸往右邊偏去";"";"2022-12-19 22:44:41"
30;35;"STRAIGHT SLICE，球先往目標直直去，尾勁往右邊飛,相對危險度比較低，還有可能留在球道上，偶而會打到OB線附近";"";"P2~3 上桿";"雖然軌道正確，但桿面是有點打開的情形下觸球，如果可以改善這個問題，距離跟方向都會更上一層樓";"球桿方向朝目標方向右邊,幾乎直球飛出漸往右邊偏去";"";"2022-12-19 22:45:06"
31;36;"STRAIGHT SLICE，球先往目標直直去，尾勁往右邊飛,相對危險度比較低，還有可能留在球道上，偶而會打到OB線附近";"";"P2~3 上桿";"雖然軌道正確，但桿面是有點打開的情形下觸球，如果可以改善這個問題，距離跟方向都會更上一層樓";"球桿方向朝目標方向右邊,幾乎直球飛出漸往右邊偏去";"";"2022-12-19 22:46:25"
32;37;"STRAIGHT SLICE，球先往目標直直去，尾勁往右邊飛,相對危險度比較低，還有可能留在球道上，偶而會打到OB線附近";"";"P2~3 上桿";"雖然軌道正確，但桿面是有點打開的情形下觸球，如果可以改善這個問題，距離跟方向都會更上一層樓";"球桿方向朝目標方向右邊,幾乎直球飛出漸往右邊偏去";"";"2022-12-19 22:47:15"
33;38;"STRAIGHT SLICE，球先往目標直直去，尾勁往右邊飛,相對危險度比較低，還有可能留在球道上，偶而會打到OB線附近";"";"P2~3 上桿";"雖然軌道正確，但桿面是有點打開的情形下觸球，如果可以改善這個問題，距離跟方向都會更上一層樓";"球桿方向朝目標方向右邊,幾乎直球飛出漸往右邊偏去";"";"2022-12-19 22:47:29"
34;39;"STRAIGHT SLICE，球先往目標直直去，尾勁往右邊飛,相對危險度比較低，還有可能留在球道上，偶而會打到OB線附近";"";"P2~3 上桿";"雖然軌道正確，但桿面是有點打開的情形下觸球，如果可以改善這個問題，距離跟方向都會更上一層樓";"球桿方向朝目標方向右邊,幾乎直球飛出漸往右邊偏去";"";"2022-12-19 22:59:22"
35;40;"STRAIGHT SLICE，球先往目標直直去，尾勁往右邊飛,相對危險度比較低，還有可能留在球道上，偶而會打到OB線附近";"";"P2~3 上桿";"雖然軌道正確，但桿面是有點打開的情形下觸球，如果可以改善這個問題，距離跟方向都會更上一層樓";"球桿方向朝目標方向右邊,幾乎直球飛出漸往右邊偏去";"";"2022-12-19 23:04:18"
36;41;"STRAIGHT SLICE，球先往目標直直去，尾勁往右邊飛,相對危險度比較低，還有可能留在球道上，偶而會打到OB線附近";"";"P2~3 上桿";"雖然軌道正確，但桿面是有點打開的情形下觸球，如果可以改善這個問題，距離跟方向都會更上一層樓";"球桿方向朝目標方向右邊,幾乎直球飛出漸往右邊偏去";"";"2022-12-19 23:13:19"
37;42;"STRAIGHT SLICE，球先往目標直直去，尾勁往右邊飛,相對危險度比較低，還有可能留在球道上，偶而會打到OB線附近";"";"P2~3 上桿";"雖然軌道正確，但桿面是有點打開的情形下觸球，如果可以改善這個問題，距離跟方向都會更上一層樓";"球桿方向朝目標方向右邊,幾乎直球飛出漸往右邊偏去";"";"2022-12-19 23:19:08"
38;43;"STRAIGHT SLICE，球先往目標直直去，尾勁往右邊飛,相對危險度比較低，還有可能留在球道上，偶而會打到OB線附近";"";"P2~3 上桿";"雖然軌道正確，但桿面是有點打開的情形下觸球，如果可以改善這個問題，距離跟方向都會更上一層樓";"球桿方向朝目標方向右邊,幾乎直球飛出漸往右邊偏去";"";"2022-12-19 23:25:54"
39;44;"STRAIGHT SLICE，球先往目標直直去，尾勁往右邊飛,相對危險度比較低，還有可能留在球道上，偶而會打到OB線附近";"";"P2~3 上桿";"雖然軌道正確，但桿面是有點打開的情形下觸球，如果可以改善這個問題，距離跟方向都會更上一層樓";"球桿方向朝目標方向右邊,幾乎直球飛出漸往右邊偏去";"";"2022-12-19 23:44:20"
40;45;"STRAIGHT SLICE，球先往目標直直去，尾勁往右邊飛,相對危險度比較低，還有可能留在球道上，偶而會打到OB線附近";"";"P2~3 上桿";"雖然軌道正確，但桿面是有點打開的情形下觸球，如果可以改善這個問題，距離跟方向都會更上一層樓";"球桿方向朝目標方向右邊,幾乎直球飛出漸往右邊偏去";"";"2022-12-19 23:45:57"
41;46;"STRAIGHT SLICE，球先往目標直直去，尾勁往右邊飛,相對危險度比較低，還有可能留在球道上，偶而會打到OB線附近";"";"P2~3 上桿";"雖然軌道正確，但桿面是有點打開的情形下觸球，如果可以改善這個問題，距離跟方向都會更上一層樓";"球桿方向朝目標方向右邊,幾乎直球飛出漸往右邊偏去";"";"2022-12-19 23:48:28"
42;47;"STRAIGHT SLICE，球先往目標直直去，尾勁往右邊飛,相對危險度比較低，還有可能留在球道上，偶而會打到OB線附近";"";"P2~3 上桿";"雖然軌道正確，但桿面是有點打開的情形下觸球，如果可以改善這個問題，距離跟方向都會更上一層樓";"球桿方向朝目標方向右邊,幾乎直球飛出漸往右邊偏去";"";"2022-12-20 00:59:51"
43;48;"STRAIGHT SLICE，球先往目標直直去，尾勁往右邊飛,相對危險度比較低，還有可能留在球道上，偶而會打到OB線附近";"";"P2~3 上桿";"雖然軌道正確，但桿面是有點打開的情形下觸球，如果可以改善這個問題，距離跟方向都會更上一層樓";"球桿方向朝目標方向右邊,幾乎直球飛出漸往右邊偏去";"";"2022-12-20 01:17:36"
44;49;"STRAIGHT SLICE，球先往目標直直去，尾勁往右邊飛,相對危險度比較低，還有可能留在球道上，偶而會打到OB線附近";"";"P2~3 上桿";"雖然軌道正確，但桿面是有點打開的情形下觸球，如果可以改善這個問題，距離跟方向都會更上一層樓";"球桿方向朝目標方向右邊,幾乎直球飛出漸往右邊偏去";"";"2022-12-20 01:18:25"
45;50;"STRAIGHT SLICE，球先往目標直直去，尾勁往右邊飛,相對危險度比較低，還有可能留在球道上，偶而會打到OB線附近";"";"P2~3 上桿";"雖然軌道正確，但桿面是有點打開的情形下觸球，如果可以改善這個問題，距離跟方向都會更上一層樓";"球桿方向朝目標方向右邊,幾乎直球飛出漸往右邊偏去";"";"2022-12-20 01:18:55"
46;51;"STRAIGHT SLICE，球先往目標直直去，尾勁往右邊飛,相對危險度比較低，還有可能留在球道上，偶而會打到OB線附近";"";"P2~3 上桿";"雖然軌道正確，但桿面是有點打開的情形下觸球，如果可以改善這個問題，距離跟方向都會更上一層樓";"球桿方向朝目標方向右邊,幾乎直球飛出漸往右邊偏去";"";"2022-12-20 01:19:24"
47;52;"STRAIGHT SLICE，球先往目標直直去，尾勁往右邊飛,相對危險度比較低，還有可能留在球道上，偶而會打到OB線附近";"";"P2~3 上桿";"雖然軌道正確，但桿面是有點打開的情形下觸球，如果可以改善這個問題，距離跟方向都會更上一層樓";"球桿方向朝目標方向右邊,幾乎直球飛出漸往右邊偏去";"";"2022-12-20 01:20:43"
48;53;"STRAIGHT SLICE，球先往目標直直去，尾勁往右邊飛,相對危險度比較低，還有可能留在球道上，偶而會打到OB線附近";"";"P2~3 上桿";"雖然軌道正確，但桿面是有點打開的情形下觸球，如果可以改善這個問題，距離跟方向都會更上一層樓";"球桿方向朝目標方向右邊,幾乎直球飛出漸往右邊偏去";"";"2022-12-20 01:25:08"
49;54;"STRAIGHT SLICE，球先往目標直直去，尾勁往右邊飛,相對危險度比較低，還有可能留在球道上，偶而會打到OB線附近";"";"P2~3 上桿";"雖然軌道正確，但桿面是有點打開的情形下觸球，如果可以改善這個問題，距離跟方向都會更上一層樓";"球桿方向朝目標方向右邊,幾乎直球飛出漸往右邊偏去";"";"2022-12-20 01:29:24"
50;55;"STRAIGHT SLICE，球先往目標直直去，尾勁往右邊飛,相對危險度比較低，還有可能留在球道上，偶而會打到OB線附近";"";"P2~3 上桿";"雖然軌道正確，但桿面是有點打開的情形下觸球，如果可以改善這個問題，距離跟方向都會更上一層樓";"球桿方向朝目標方向右邊,幾乎直球飛出漸往右邊偏去";"";"2022-12-20 01:29:55"
51;56;"STRAIGHT SLICE，球先往目標直直去，尾勁往右邊飛,相對危險度比較低，還有可能留在球道上，偶而會打到OB線附近";"";"P2~3 上桿";"雖然軌道正確，但桿面是有點打開的情形下觸球，如果可以改善這個問題，距離跟方向都會更上一層樓";"球桿方向朝目標方向右邊,幾乎直球飛出漸往右邊偏去";"";"2022-12-20 01:31:36"
52;57;"STRAIGHT SLICE，球先往目標直直去，尾勁往右邊飛,相對危險度比較低，還有可能留在球道上，偶而會打到OB線附近";"";"P2~3 上桿";"雖然軌道正確，但桿面是有點打開的情形下觸球，如果可以改善這個問題，距離跟方向都會更上一層樓";"球桿方向朝目標方向右邊,幾乎直球飛出漸往右邊偏去";"";"2022-12-20 01:33:02"
53;58;"STRAIGHT SLICE，球先往目標直直去，尾勁往右邊飛,相對危險度比較低，還有可能留在球道上，偶而會打到OB線附近";"";"P2~3 上桿";"雖然軌道正確，但桿面是有點打開的情形下觸球，如果可以改善這個問題，距離跟方向都會更上一層樓";"球桿方向朝目標方向右邊,幾乎直球飛出漸往右邊偏去";"";"2022-12-20 01:34:17"
54;59;"STRAIGHT SLICE，球先往目標直直去，尾勁往右邊飛,相對危險度比較低，還有可能留在球道上，偶而會打到OB線附近";"";"P2~3 上桿";"雖然軌道正確，但桿面是有點打開的情形下觸球，如果可以改善這個問題，距離跟方向都會更上一層樓";"球桿方向朝目標方向右邊,幾乎直球飛出漸往右邊偏去";"";"2022-12-20 01:35:57"
55;60;"STRAIGHT SLICE，球先往目標直直去，尾勁往右邊飛,相對危險度比較低，還有可能留在球道上，偶而會打到OB線附近";"";"P2~3 上桿";"雖然軌道正確，但桿面是有點打開的情形下觸球，如果可以改善這個問題，距離跟方向都會更上一層樓";"球桿方向朝目標方向右邊,幾乎直球飛出漸往右邊偏去";"";"2022-12-20 01:37:29"
56;61;"STRAIGHT SLICE，球先往目標直直去，尾勁往右邊飛,相對危險度比較低，還有可能留在球道上，偶而會打到OB線附近";"";"P2~3 上桿";"雖然軌道正確，但桿面是有點打開的情形下觸球，如果可以改善這個問題，距離跟方向都會更上一層樓";"球桿方向朝目標方向右邊,幾乎直球飛出漸往右邊偏去";"";"2022-12-20 01:38:28"
57;62;"STRAIGHT SLICE，球先往目標直直去，尾勁往右邊飛,相對危險度比較低，還有可能留在球道上，偶而會打到OB線附近";"";"P2~3 上桿";"雖然軌道正確，但桿面是有點打開的情形下觸球，如果可以改善這個問題，距離跟方向都會更上一層樓";"球桿方向朝目標方向右邊,幾乎直球飛出漸往右邊偏去";"";"2022-12-20 01:39:16"
58;63;"STRAIGHT SLICE，球先往目標直直去，尾勁往右邊飛,相對危險度比較低，還有可能留在球道上，偶而會打到OB線附近";"";"P2~3 上桿";"雖然軌道正確，但桿面是有點打開的情形下觸球，如果可以改善這個問題，距離跟方向都會更上一層樓";"球桿方向朝目標方向右邊,幾乎直球飛出漸往右邊偏去";"";"2022-12-20 14:27:47"
59;64;"STRAIGHT SLICE，球先往目標直直去，尾勁往右邊飛,相對危險度比較低，還有可能留在球道上，偶而會打到OB線附近";"";"P2~3 上桿";"雖然軌道正確，但桿面是有點打開的情形下觸球，如果可以改善這個問題，距離跟方向都會更上一層樓";"球桿方向朝目標方向右邊,幾乎直球飛出漸往右邊偏去";"";"2022-12-20 14:31:40"
60;65;"STRAIGHT SLICE，球先往目標直直去，尾勁往右邊飛,相對危險度比較低，還有可能留在球道上，偶而會打到OB線附近";"";"P2~3 上桿";"雖然軌道正確，但桿面是有點打開的情形下觸球，如果可以改善這個問題，距離跟方向都會更上一層樓";"球桿方向朝目標方向右邊,幾乎直球飛出漸往右邊偏去";"";"2022-12-20 16:14:11"
61;66;"STRAIGHT SLICE，球先往目標直直去，尾勁往右邊飛,相對危險度比較低，還有可能留在球道上，偶而會打到OB線附近";"";"P2~3 上桿";"雖然軌道正確，但桿面是有點打開的情形下觸球，如果可以改善這個問題，距離跟方向都會更上一層樓";"球桿方向朝目標方向右邊,幾乎直球飛出漸往右邊偏去";"";"2022-12-20 16:15:15"
62;67;"STRAIGHT SLICE，球先往目標直直去，尾勁往右邊飛,相對危險度比較低，還有可能留在球道上，偶而會打到OB線附近";"";"P2~3 上桿";"雖然軌道正確，但桿面是有點打開的情形下觸球，如果可以改善這個問題，距離跟方向都會更上一層樓";"球桿方向朝目標方向右邊,幾乎直球飛出漸往右邊偏去";"";"2022-12-20 16:18:48"
63;68;"STRAIGHT SLICE，球先往目標直直去，尾勁往右邊飛,相對危險度比較低，還有可能留在球道上，偶而會打到OB線附近";"";"P2~3 上桿";"雖然軌道正確，但桿面是有點打開的情形下觸球，如果可以改善這個問題，距離跟方向都會更上一層樓";"球桿方向朝目標方向右邊,幾乎直球飛出漸往右邊偏去";"";"2022-12-20 16:20:13"
64;69;"STRAIGHT SLICE，球先往目標直直去，尾勁往右邊飛,相對危險度比較低，還有可能留在球道上，偶而會打到OB線附近";"";"P2~3 上桿";"雖然軌道正確，但桿面是有點打開的情形下觸球，如果可以改善這個問題，距離跟方向都會更上一層樓";"球桿方向朝目標方向右邊,幾乎直球飛出漸往右邊偏去";"";"2022-12-20 16:20:34"
65;70;"STRAIGHT SLICE，球先往目標直直去，尾勁往右邊飛,相對危險度比較低，還有可能留在球道上，偶而會打到OB線附近";"";"P2~3 上桿";"雖然軌道正確，但桿面是有點打開的情形下觸球，如果可以改善這個問題，距離跟方向都會更上一層樓";"球桿方向朝目標方向右邊,幾乎直球飛出漸往右邊偏去";"";"2022-12-20 16:21:28"
66;71;"STRAIGHT SLICE，球先往目標直直去，尾勁往右邊飛,相對危險度比較低，還有可能留在球道上，偶而會打到OB線附近";"";"P2~3 上桿";"雖然軌道正確，但桿面是有點打開的情形下觸球，如果可以改善這個問題，距離跟方向都會更上一層樓";"球桿方向朝目標方向右邊,幾乎直球飛出漸往右邊偏去";"";"2022-12-20 16:22:59"
67;75;"右曲球";"";"P5~6 下桿";"下桿時，不要伸直雙腿，或抬起上半身";"下桿時，膝關節伸直，腰部伸展，聳肩、抬頭，上臂用力導致手肘彎曲，身體重心移到腳跟";"";"2022-12-20 16:33:09"
68;76;"右曲球";"";"P2~3 上桿";"此擊球它看起來不錯但置球點到擊球落點的距離不佳。堅信你的揮桿要保持良好的平衡，如果你能保持收杆，那是你能得到更好的擊球";"右曲球";"";"2022-12-20 16:33:55"
69;77;"右曲球";"";"P2~3 上桿";"此擊球它看起來不錯但置球點到擊球落點的距離不佳。堅信你的揮桿要保持良好的平衡，如果你能保持收杆，那是你能得到更好的擊球";"右曲球";"";"2022-12-20 16:34:47"
70;82;"STRAIGHT SLICE，球先往目標直直去，尾勁往右邊飛,相對危險度比較低，還有可能留在球道上，偶而會打到OB線附近";"";"P2~3 上桿";"雖然軌道正確，但桿面是有點打開的情形下觸球，如果可以改善這個問題，距離跟方向都會更上一層樓";"球桿方向朝目標方向右邊,幾乎直球飛出漸往右邊偏去";"";"2022-12-20 16:39:00"
71;83;"STRAIGHT SLICE，球先往目標直直去，尾勁往右邊飛,相對危險度比較低，還有可能留在球道上，偶而會打到OB線附近";"";"P2~3 上桿";"雖然軌道正確，但桿面是有點打開的情形下觸球，如果可以改善這個問題，距離跟方向都會更上一層樓";"球桿方向朝目標方向右邊,幾乎直球飛出漸往右邊偏去";"";"2022-12-20 16:40:11"
72;84;"STRAIGHT SLICE，球先往目標直直去，尾勁往右邊飛,相對危險度比較低，還有可能留在球道上，偶而會打到OB線附近";"";"P2~3 上桿";"雖然軌道正確，但桿面是有點打開的情形下觸球，如果可以改善這個問題，距離跟方向都會更上一層樓";"球桿方向朝目標方向右邊,幾乎直球飛出漸往右邊偏去";"";"2022-12-20 16:43:07"
73;85;"STRAIGHT SLICE，球先往目標直直去，尾勁往右邊飛,相對危險度比較低，還有可能留在球道上，偶而會打到OB線附近";"";"P2~3 上桿";"雖然軌道正確，但桿面是有點打開的情形下觸球，如果可以改善這個問題，距離跟方向都會更上一層樓";"球桿方向朝目標方向右邊,幾乎直球飛出漸往右邊偏去";"";"2022-12-20 16:56:00"
74;86;"STRAIGHT SLICE，球先往目標直直去，尾勁往右邊飛,相對危險度比較低，還有可能留在球道上，偶而會打到OB線附近";"";"P2~3 上桿";"雖然軌道正確，但桿面是有點打開的情形下觸球，如果可以改善這個問題，距離跟方向都會更上一層樓";"球桿方向朝目標方向右邊,幾乎直球飛出漸往右邊偏去";"";"2022-12-20 20:58:58"
75;87;"STRAIGHT SLICE，球先往目標直直去，尾勁往右邊飛,相對危險度比較低，還有可能留在球道上，偶而會打到OB線附近";"";"P2~3 上桿";"雖然軌道正確，但桿面是有點打開的情形下觸球，如果可以改善這個問題，距離跟方向都會更上一層樓";"球桿方向朝目標方向右邊,幾乎直球飛出漸往右邊偏去";"";"2022-12-20 20:59:22"
76;91;"STRAIGHT SLICE，球先往目標直直去，尾勁往右邊飛,相對危險度比較低，還有可能留在球道上，偶而會打到OB線附近";"";"P2~3 上桿";"雖然軌道正確，但桿面是有點打開的情形下觸球，如果可以改善這個問題，距離跟方向都會更上一層樓";"球桿方向朝目標方向右邊,幾乎直球飛出漸往右邊偏去";"";"2022-12-20 21:13:49"
